run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias
ERR1911748	HiSeq X Ten paired end sequencing	SAMEA4547115	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA871181					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911748/21765_8#334.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911748/21765_8#334.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911748/21765_8#334.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911748/21765_8#334.cram.crai			74606808;102136771	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR191/ERR1911748/21765_8#334.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR191/ERR1911748/21765_8#334.cram.crai							ceabdb313b10b65e9158cd8ebc25965a;84a036715c8cc44debec30fc3c64f003	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_2.fastq.gz				131480544;3664					4075STDY6305953			67afb98f66e69249ef248a0dc3312dcf;0d10af49fbc9cc33d0c795a3201e5aa0	ERP015041		2358860	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6305953					HiSeq X Ten							HiSeq X Ten paired end sequencing	83								ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_2.fastq.gz					356187860	WGS					GENOMIC			PAIRED										dcc_compare									450			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR191/008/ERR1911748/ERR1911748_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			bf869460-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21765_8#334				Standard			SC_EXP_21765_8#334		Wellcome Sanger Institute;SC					DN472288K:C9	pathogen;pathogen:bacterium;pathogen:priority	2017-04-04			ERX1972228	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1911748	ERS1446294											2017-04-04		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1911754	HiSeq X Ten paired end sequencing	SAMEA4547127	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA871181					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911754/21765_8#340.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911754/21765_8#340.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911754/21765_8#340.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR191/ERR1911754/21765_8#340.cram.crai			89739625;122539687	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR191/ERR1911754/21765_8#340.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR191/ERR1911754/21765_8#340.cram.crai							d4f6d656696624d65c64d90f1ee4f6fd;229eeb11bb61342fe8246805e5cb62f2	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_2.fastq.gz				155250416;4499					4075STDY6305959			4cc720ef3479d4d5bf70dc16ddd0c389;d2043ae092b068902f4d6565c71ceafb	ERP015041		2894508	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6305959					HiSeq X Ten							HiSeq X Ten paired end sequencing	80								ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_2.fastq.gz					437070708	WGS					GENOMIC			PAIRED										dcc_compare									451			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR191/004/ERR1911754/ERR1911754_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			bfbc4a60-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21765_8#340				Standard			SC_EXP_21765_8#340		Wellcome Sanger Institute;SC					DN472288K:A10	pathogen;pathogen:bacterium;pathogen:priority	2017-04-04			ERX1972234	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1911754	ERS1446306											2017-04-04		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1937224	Illumina HiSeq 2500 paired end sequencing	SAMEA4552207	The_phylogeography_of_Klebsiella_pneumoniae_and_Escherichia_coli_causing_bloodstream_infections_in_Asia_and_the_role_of_siderophores_and_antimicrobial_resistance_genes_in_virulence_	ERA885389					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1937224/21836_4#169.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1937224/21836_4#169.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1937224/21836_4#169.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1937224/21836_4#169.cram.crai			51202637;55017341	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR193/ERR1937224/21836_4#169.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR193/ERR1937224/21836_4#169.cram.crai							61c94591f0eb424d0710785ef2175670;f4cd1c73ce095f50bb3258fabd2e6f99	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_2.fastq.gz				71294986;3718					4406STDY6621002			69d921c8b82b84fdfb5b45e9de1bd594;79184981731984991a4035afc01082f0	ERP017161		2362740	The_phylogeography_of_Klebsiella_pneumoniae_and_Escherichia_coli_causing_bloodstream_infections_in_Asia_and_the_role_of_siderophores_and_antimicrobial_resistance_genes_in_virulence_								4406STDY6621002					Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing	80								ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_2.fastq.gz					295342500	WGS					GENOMIC			PAIRED										dcc_compare									450			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR193/004/ERR1937224/ERR1937224_2.fastq.gz	1;131567;2;1224;1236;91347;543;561;562			4f10d780-a286-11e6-8d8d-3c4a9275d6c8					SC_RUN_21836_4#169				Standard			SC_EXP_21836_4#169		Wellcome Sanger Institute;SC					DN470384B:C10	pathogen;pathogen:bacterium	2017-04-13			ERX1994951	Escherichia coli		562	PRJEB15430	CRAM;CRAI							ERR1937224	ERS1451386											2017-04-13		The_phylogeography_of_Klebsiella_pneumoniae_and_Escherichia_coli_causing_bloodstream_infections_in_Asia_and_the_role_of_siderophores_and_antimicrobial_resistance_genes_in_virulence_-sc-4406
ERR1939932	Illumina HiSeq 2500 paired end sequencing	SAMEA4555991	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women	ERA886765					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1939932/21837_8#54.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1939932/21837_8#54.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1939932/21837_8#54.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR193/ERR1939932/21837_8#54.cram.crai			267639565;266573776	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR193/ERR1939932/21837_8#54.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR193/ERR1939932/21837_8#54.cram.crai							afbe6f63e457e6ddb345979c1196e822;92aa17fdf2df03b820bb7a4c0ee1c27a	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_2.fastq.gz				347834380;6978					Enterobacter ludwigii			dffff130b448d91d4f31c5003b9cbcd1;c8a718890e638e244ca631337a8d0ea5	ERP009142		7587582	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women								Enterobacter ludwigii					Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_2.fastq.gz					948447750	WGS					GENOMIC			PAIRED										dcc_compare									450			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR193/002/ERR1939932/ERR1939932_2.fastq.gz	1;131567;2;1224;1236;91347;543;547;354276;299767			75b79b60-b09d-11e6-8d8d-3c4a9275d6c8					SC_RUN_21837_8#54				Standard			SC_EXP_21837_8#54		Wellcome Sanger Institute;SC					DN473431D:F7	pathogen;pathogen:bacterium	2017-04-19			ERX2000465	Enterobacter ludwigii		299767	PRJEB8104	CRAM;CRAI							ERR1939932	ERS1455170											2017-04-19		Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women-sc-3454
ERR1945763	HiSeq X Ten paired end sequencing	SAMEA4547182	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1945763/21946_3#13.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1945763/21946_3#13.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1945763/21946_3#13.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1945763/21946_3#13.cram.crai			86246981;120173496	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1945763/21946_3#13.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1945763/21946_3#13.cram.crai							1bc3ae93dc6d12564916554e043f8b49;245908cbf73f14edb3edd9e68a6b2e65	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_2.fastq.gz				155644312;4623					4075STDY6305988			f319adc9ba85844748d7df9b02f7c9eb;fb8fcb415366676a58c1410958029fa9	ERP015041		2919092	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6305988					HiSeq X Ten							HiSeq X Ten paired end sequencing	76								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_2.fastq.gz					440782892	WGS					GENOMIC			PAIRED										dcc_compare									453			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/003/ERR1945763/ERR1945763_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			c0baa790-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_3#13				Standard			SC_EXP_21946_3#13		Wellcome Sanger Institute;SC					18335353	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011550	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1945763	ERS1446361											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1946138	HiSeq X Ten paired end sequencing	SAMEA4547504	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946138/21946_4#32.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946138/21946_4#32.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946138/21946_4#32.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946138/21946_4#32.cram.crai			84450061;102589224	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946138/21946_4#32.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946138/21946_4#32.cram.crai							5a39c852d40e009eebc39f9bfc13f452;42e288c79aa986bdb36b3a64ef7ac5b8	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_2.fastq.gz				138642848;1980					4075STDY6306369			8c78a4f7945874e6ab87dc498684e15d;2408ee4479fcc1a363496525b3f9b53d	ERP015041		1874062	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6306369					HiSeq X Ten							HiSeq X Ten paired end sequencing	68								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_2.fastq.gz					282983362	WGS					GENOMIC			PAIRED										dcc_compare									423			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/008/ERR1946138/ERR1946138_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			d25110c0-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_4#32				Standard			SC_EXP_21946_4#32		Wellcome Sanger Institute;SC					18393606	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011925	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1946138	ERS1446683											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1946142	HiSeq X Ten paired end sequencing	SAMEA4547508	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946142/21946_4#36.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946142/21946_4#36.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946142/21946_4#36.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946142/21946_4#36.cram.crai			70456241;89921177	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946142/21946_4#36.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946142/21946_4#36.cram.crai							b122a7b97bbbc3b2b8326a12312c761b;46dec27996808b395ffc5f9c8727ec27	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_2.fastq.gz				116975955;2941					4075STDY6306373			95221be0d350f914118c9e27530b7041;4ab715a07f79b0a235d6e306e7273e86	ERP015041		2028148	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6306373					HiSeq X Ten							HiSeq X Ten paired end sequencing	78								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_2.fastq.gz					306250348	WGS					GENOMIC			PAIRED										dcc_compare									435			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/002/ERR1946142/ERR1946142_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			d26b0160-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_4#36				Standard			SC_EXP_21946_4#36		Wellcome Sanger Institute;SC					18393559	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011929	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1946142	ERS1446687											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1946146	HiSeq X Ten paired end sequencing	SAMEA4547512	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946146/21946_4#40.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946146/21946_4#40.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946146/21946_4#40.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946146/21946_4#40.cram.crai			68909806;89472947	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946146/21946_4#40.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946146/21946_4#40.cram.crai							19f035af08c27cf313f83f5c11c76cbd;14f14d61546856833d6139c6177e3bea	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_2.fastq.gz				112780061;3360					4075STDY6306377			f407b3a3e2291dfcf8ba93dbcbf1650a;3dd3e0dd120b46f9412da733994b9a0d	ERP015041		2172814	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6306377					HiSeq X Ten							HiSeq X Ten paired end sequencing	75								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_2.fastq.gz					328094914	WGS					GENOMIC			PAIRED										dcc_compare									430			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/006/ERR1946146/ERR1946146_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			d286edd0-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_4#40				Standard			SC_EXP_21946_4#40		Wellcome Sanger Institute;SC					18393607	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011933	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1946146	ERS1446691											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1946148	HiSeq X Ten paired end sequencing	SAMEA4547514	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946148/21946_4#42.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946148/21946_4#42.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946148/21946_4#42.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946148/21946_4#42.cram.crai			62713665;82920754	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946148/21946_4#42.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946148/21946_4#42.cram.crai							ca5bd78a07817b5fca2fa3319379df63;f4cfa3a6cb70c6f08aab7371c613c78f	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_2.fastq.gz				103705514;3115					4075STDY6306379			03876ade7b3f522c75a751933f9deded;b61da015e92d42631ffb794d8c937e00	ERP015041		2001404	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6306379					HiSeq X Ten							HiSeq X Ten paired end sequencing	77								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_2.fastq.gz					302212004	WGS					GENOMIC			PAIRED										dcc_compare									445			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/008/ERR1946148/ERR1946148_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			d29322d0-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_4#42				Standard			SC_EXP_21946_4#42		Wellcome Sanger Institute;SC					18393536	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011935	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1946148	ERS1446693											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
ERR1946150	HiSeq X Ten paired end sequencing	SAMEA4547516	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys	ERA894207					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946150/21946_4#44.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946150/21946_4#44.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946150/21946_4#44.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR194/ERR1946150/21946_4#44.cram.crai			67816950;89386063	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946150/21946_4#44.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR194/ERR1946150/21946_4#44.cram.crai							0fa3fdcf459c3e27178ac1a91c74b369;693f2e1a4e8329eec05d714d80badd02	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_2.fastq.gz				111516506;3386					4075STDY6306381			5ae636179f1630d5b16b37468dc8fed3;299444bd7d003f24f54e17a7e3102848	ERP015041		2189178	Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys								4075STDY6306381					HiSeq X Ten							HiSeq X Ten paired end sequencing	70								ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_2.fastq.gz					330565878	WGS					GENOMIC			PAIRED										dcc_compare									433			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR194/000/ERR1946150/ERR1946150_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			d2a10580-c356-11e5-bc69-3c4a9275d6c6					SC_RUN_21946_4#44				Standard			SC_EXP_21946_4#44		Wellcome Sanger Institute;SC					18393560	pathogen;pathogen:bacterium;pathogen:priority	2017-04-25			ERX2011937	Staphylococcus aureus		1280	PRJEB13482	CRAM;CRAI							ERR1946150	ERS1446695											2017-04-25		Staphylococcal_Reference_Laboratories__SRL____S__aureus_Structured_Surveys-sc-4075
