ARG_number	Family	SRA_ID
1	Enterobacteriaceae	SRR7304501
3	Enterobacteriaceae	SRR7304506
4	Enterobacteriaceae	SRR7415099
3	Enterobacteriaceae	SRR7426964
2	Enterobacteriaceae	SRR7500907
2	Enterobacteriaceae	SRR7500909
1	Enterobacteriaceae	SRR755296
3	Enterobacteriaceae	SRR7767232
2	Enterobacteriaceae	SRR7949740
2	Enterobacteriaceae	SRR8095689
47	Staphylococcaceae	ERR1082958
37	Staphylococcaceae	ERR1082961
1	Staphylococcaceae	ERR1082963
38	Staphylococcaceae	ERR1082967
42	Staphylococcaceae	ERR1512641
6	Staphylococcaceae	ERR1549309
6	Staphylococcaceae	ERR175855
15	Staphylococcaceae	ERR1911515
34	Staphylococcaceae	ERR1911656
49	Staphylococcaceae	ERR1911657
9	Staphylococcaceae	ERR1911659
29	Staphylococcaceae	ERR1911660
21	Staphylococcaceae	ERR1911661
20	Staphylococcaceae	ERR1911662
18	Staphylococcaceae	ERR1911663
11	Staphylococcaceae	ERR1911664
31	Staphylococcaceae	ERR1911665
58	Staphylococcaceae	ERR1911666
15	Staphylococcaceae	ERR1911667
4	Staphylococcaceae	ERR1911668
10	Staphylococcaceae	ERR1911672
8	Staphylococcaceae	ERR1911673
6	Staphylococcaceae	ERR1911676
1	Staphylococcaceae	ERR1911678
24	Staphylococcaceae	ERR1911679
4	Staphylococcaceae	ERR1911680
3	Staphylococcaceae	ERR1911681
22	Staphylococcaceae	ERR1911682
4	Staphylococcaceae	ERR1911683
20	Staphylococcaceae	ERR1911684
16	Staphylococcaceae	ERR1911685
15	Staphylococcaceae	ERR1911687
29	Staphylococcaceae	ERR1911688
3	Staphylococcaceae	ERR1911692
4	Staphylococcaceae	ERR1911694
5	Staphylococcaceae	ERR1911696
11	Staphylococcaceae	ERR1911701
13	Staphylococcaceae	ERR1911705
16	Staphylococcaceae	ERR1911710
33	Staphylococcaceae	ERR1911744
11	Staphylococcaceae	ERR1911748
18	Staphylococcaceae	ERR1911754
24	Staphylococcaceae	ERR1945763
6	Staphylococcaceae	ERR1946138
2	Staphylococcaceae	ERR1946142
2	Staphylococcaceae	ERR1946146
4	Staphylococcaceae	ERR1946148
2	Staphylococcaceae	ERR1946150
11	Staphylococcaceae	ERR212740
31	Staphylococcaceae	ERR212741
18	Staphylococcaceae	ERR212742
41	Staphylococcaceae	ERR212931
27	Staphylococcaceae	ERR212932
3	Staphylococcaceae	ERR230332
20	Staphylococcaceae	ERR234802
15	Staphylococcaceae	ERR234810
2	Staphylococcaceae	ERR2729492
82	Staphylococcaceae	ERR387218
35	Staphylococcaceae	ERR490568
4	Staphylococcaceae	ERR490605
4	Staphylococcaceae	ERR490610
79	Staphylococcaceae	ERR505334
3	Staphylococcaceae	ERR505364
23	Staphylococcaceae	ERR505371
26	Staphylococcaceae	ERR505376
6	Staphylococcaceae	ERR573329
4	Staphylococcaceae	ERR573337
1	Staphylococcaceae	ERR594079
35	Staphylococcaceae	ERR600010
15	Staphylococcaceae	SRR073394
16	Staphylococcaceae	SRR073395
3	Staphylococcaceae	SRR073421
3	Staphylococcaceae	SRR090139
3	Staphylococcaceae	SRR090222
3	Staphylococcaceae	SRR090228
1	Staphylococcaceae	SRR1025080
1	Staphylococcaceae	SRR1025081
6	Staphylococcaceae	SRR1172621
6	Staphylococcaceae	SRR1175239
1	Staphylococcaceae	SRR1522511
2	Staphylococcaceae	SRR1522630
9	Staphylococcaceae	SRR1655262
1	Staphylococcaceae	SRR1655268
4	Staphylococcaceae	SRR1655284
15	Staphylococcaceae	SRR1655521
12	Staphylococcaceae	SRR1656295
2	Staphylococcaceae	SRR1763652
2	Staphylococcaceae	SRR3545468
6	Staphylococcaceae	SRR3545487
6	Staphylococcaceae	SRR3545489
6	Staphylococcaceae	SRR3545492
6	Staphylococcaceae	SRR3545496
1	Staphylococcaceae	SRR3545497
1	Staphylococcaceae	SRR497543
2	Staphylococcaceae	SRR6118113
34	Staphylococcaceae	SRR6938527
26	Staphylococcaceae	SRR7748135
18	Streptococcaceae	SRR1147093
18	Streptococcaceae	SRR1147586
24	Streptococcaceae	SRR1149009
18	Streptococcaceae	SRR1149243
8	Streptococcaceae	SRR1149249
6	Streptococcaceae	SRR1149267
6	Streptococcaceae	SRR1149275
8	Streptococcaceae	SRR1149278
8	Streptococcaceae	SRR1149286
8	Streptococcaceae	SRR1149291
4	Streptococcaceae	SRR6765791
4	Streptococcaceae	SRR6765792
4	Streptococcaceae	SRR6765793
4	Streptococcaceae	SRR6765794
4	Streptococcaceae	SRR6765795
4	Streptococcaceae	SRR6765796
4	Streptococcaceae	SRR6765797
4	Streptococcaceae	SRR6765798
4	Streptococcaceae	SRR6765799
4	Streptococcaceae	SRR6765800
4	Streptococcaceae	SRR6765801
4	Streptococcaceae	SRR6765802
4	Streptococcaceae	SRR6765803
